Id;Designator;Package;Quantity;Type;Termination;Package;Designation;Parameters (Rating/Tolerance/etc);Description;Manufacturer;Part Number
1;C1,C2;C_0805;2;Capacitor;SMD;0805;22p;50V ±5%;Capacitor SMD 0805 22pF 50V ±5%;Samsung Electro-Mechanics;CL21C220JBANNNC
2;C3;C_0805;1;Capacitor;SMD;0805;1u;50V ±5%;Capacitor SMD 0805 1uF 50V ±5%;Samsung Electro-Mechanics;CL21B105KBFNNNE
3;C5,C6,C4,C7;C_0805;4;Capacitor;SMD;0805;0.1u;50V ±5%;Capacitor SMD 0805 0.1uF 50V ±5%;CCTC;TCC0805X7R104K500DT
4;C8;C_0805;1;Capacitor;SMD;0805;4.7u;50V ±5%;Capacitor SMD 0805 4.7uF 50V ±5%;Walsin Tech Corp;0805X475K500CT
5;D10,D11,D31,D33,D1,D2,D4,D3,D7,D5,D6,D8,D9,D53,D71,D65,D69,D62,D64,D59,D70,D57,D58,D56,D60,D41,D44,D49,D39,D46,D50,D38,D47,D51,D55,D42,D48,D34,D32,D35,D37,D36,D40,D20,D23,D28,D18,D29,D16,D12,D24,D27,D13,D14,D26,D21,D22,D15,D25,D17,D19,D43;D_0805_2012Metric_Pad1.15x1.40mm_HandSolder;62;Switching Diode;SMD;0805;D;75V 150mA 1.25V @ 100mA 4ns;Switching Diode SMD 0805 75V 150mA 1.25V @ 100mA 4ns;LIZ Elec;CD4148WSP
6;D73;LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm;1;LED;SMD;3535;WS2812B-Mini;;LED SMD 3535 WS2812B-Mini;Worldsemi;WS2812B-Mini
7;F1;R_0805;1;PTC Resettable Fuse;SMD;0805;Polyfuse;6V 1A 100ms;PTC Resettable Fuse SMD 0805 6V 1A 100ms;TLC Electronic;TLC-PSMD050
9;J1;HRO-TYPE-C-31-M-12;1;USB Type C Receptacle ;SMD/THT;;HRO-TYPE-C-31-M-12;;USB Type C Receptacle  SMD/THT ;Korean HROparts;TYPE-C-31-M-12
10;K10,K37,K20,K47,K4,K31,K34,K64,K55,K40,K23,K65,K66,K67,K53,K35,K70,K69,K28,K25,K9,K13,K14,K17,K12,K18,K22,K24,K32,K15,K27,K16,K3,K54,K30,K11,K41,K5,K7,K6,K63,K26,K2,K71,K33,K68,K58,K36,K1,K21,K8,K60,K48,K19,K29,K61,K62,K45,K46,K50,K38,K51,K52,K39,K42,K49,K43,K56,K57,K59,K44;Kailh_socket3;71;Key Socket;SMD;;KEYSW;;Key Socket SMD ;Kailh;CPG151101S11
11;R1,R2;R_0805;2;Chip Resistor;SMD;0805;22;1/8W ±5%;Chip Resistor SMD 0805 22Ohm 1/8W ±5%;BOURNS;CR0805-FX-22R0ELF
12;R3,R4;R_0805;2;Chip Resistor;SMD;0805;5.1k;1/8W ±5%;Chip Resistor SMD 0805 5.1kOhm 1/8W ±5%;UNI-ROYAL(Uniroyal Elec);0805W8J0512T5E
13;R5,R6;R_0805;2;Chip Resistor;SMD;0805;10k;1/8W ±5%;Chip Resistor SMD 0805 10kOhm 1/8W ±5%;UNI-ROYAL(Uniroyal Elec);0805W8F1002T5E
14;SW1;SW_SPST_TL3342;1;Tactile Switch;SMD;TL3342;SW_PUSH;;Tactile Switch SMD TL3342;Korean HROparts;K2-1187SQ-A4SW-06
15;U1;ATMEGA32U4;1;MCU;SMD;TQFP-44;ATmega32U4;;MCU SMD TQFP-44;Microchip Tech;ATMEGA32U4-AU
16;U2;USBLC6-2SC6;1;USB ESD Protection IC;SMD;SOT-23-6;USBLC6-2SC6;;USB ESD Protection IC SMD SOT-23-6;STMicro;USBLC6-2SC6
17;X1;crystal_FA238-TSX3225;1;Crystal Oscilator;SMD;TSX-3225;XTAL_GND;16MHz ±10ppm;Crystal Oscilator SMD TSX-3225 16MHz ±10ppm;Seiko Epson;X1E000021061300